"","AQIM_CARGO_ID","CARGO_FORM","CALENDAR_YR","CARGO_CATG","ORIGIN","CITY","STATE","QUANTITY","UNIT","INSP_QUANTITY","INSP_UNIT","INSP_METHOD","AG_RISK_FL","INTENDED_USE","COMMODITY_LIST","LOCATION","PORT_CD","ENTRY_NUM","CARGO_COMMODITY_ID","AQIM_COMMODITY","QUANTITY.y","UNIT.y","FND_IN_CARGO","PROHIBITED_FL","TREATMENT_FL","SMUGGLED_FL","PEST_FL","PEST_DATA","CONTAMNT_FL","CONTAMINENT","CREATE_DT","kstar","QUANTITY_INSP_UNITS","HYPER_SAMP_SIZE"
"1","10458AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",100,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,25
"2","10459AC","Air Cargo",2011,"Perishable","ITA","SCHAUMBURG","IL",17,"Box/Carton",14,"Box/Carton","Hypergeometric Sample","N","","Danae sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,14
"3","10461AC","Air Cargo",2011,"Perishable","NLD","SCHAUMBURG","IL",8,"Box/Carton",8,"Box/Carton","Hypergeometric Sample","N","","Cymbidium sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8
"4","10471AC","Air Cargo",2011,"Perishable","MEX","HOUSTON","TX",10,"Box/Carton",10,"Box/Carton","Hypergeometric Sample","N","","Alpinia sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10
"5","10482AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",89,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,89,25
"6","10510AC","Air Cargo",2011,"Perishable","THA","HOUSTON","TX",10,"Box/Carton",10,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10
"7","10518AC","Air Cargo",2011,"Perishable","GTM","DALLAS","TX",33,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,20
"8","10519AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",60,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,23
"9","10524AC","Air Cargo",2011,"Perishable","THA","FREMONT","CA",17,"Box/Carton",14,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,14
"10","10529NC","Northern Border Cargo",2011,"Perishable","CAN","ARCATA","CA",704,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,704,28
"11","10531AC","Air Cargo",2011,"Perishable","NLD","BOSTON","MA",176,"Box/Carton",27,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,176,27
"12","10542NC","Northern Border Cargo",2011,"Perishable","CAN","OCONOMOWOC","WI",434,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,434,28
"13","10551AC","Air Cargo",2011,"Perishable","THA","SAN FRANCISCO","CA",52,"Box/Carton",22,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,22
"14","10555NC","Northern Border Cargo",2011,"Perishable","CAN","MIAMI","FL",22,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","NY Buffalo CBP Peace Bridge",901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,16
"15","10581NC","Northern Border Cargo",2011,"Perishable","CAN","CARLISLE","PA",536,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","NY Buffalo CBP Peace Bridge",901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,536,28
"16","10583AC","Air Cargo",2011,"Perishable","GTM","DALLAS","TX",15,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,13
"17","10584AC","Air Cargo",2011,"Perishable","GTM","DALLAS","TX",46,"Box/Carton",22,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46,22
"18","10586AC","Air Cargo",2011,"Perishable","THA","KAHULUI","HI",26,"Box/Carton",18,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,18
"19","10589AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",13,"Box/Carton",12,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,12
"20","10590AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"21","10592AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",11,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,11
"22","10596AC","Air Cargo",2011,"Perishable","NLD","INGLEWOOD","CA",28,"Box/Carton",18,"Box/Carton","Hypergeometric Sample","N","","Cymbidium sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28,18
"23","10613NC","Northern Border Cargo",2011,"Perishable","CAN","OCONOMOWOC","WI",270,"Box/Carton",27,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,270,27
"24","10623NC","Northern Border Cargo",2011,"Perishable","CAN","VARIOUS","MI",57,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Bouquet mixed, CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57,23
"25","10636AC","Air Cargo",2011,"Perishable","NLD","MCADOO","PA",480,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","NJ Newark Air Cargo CBP",4601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,480,28
"26","10669AC","Air Cargo",2011,"Perishable","CRI","HOUSTON","TX",15,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","Y","Wholesale/ Retail","Bouquet mixed, CF","TX Houston Air CBP",5309,NA,2534,"Bouquet mixed, CF","15","Box/Carton","Associated with cargo","N","N","N","Y","APHTX110344787003 (TETTIGONIIDAE sp. of)","N","","Feb 7, 2011 11:00:26 AM",1,15,13
"27","10686AC","Air Cargo",2011,"Perishable","THA","GRAND PRAIRIE","TX",40,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,21
"28","10692AC","Air Cargo",2011,"Perishable","GTM","DALLAS","TX",140,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,140,26
"29","10703AC","Air Cargo",2011,"Perishable","NLD","LOS ANGELES","CA",20,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Cymbidium sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,16
"30","10705NC","Northern Border Cargo",2011,"Perishable","CAN","CHESTERFIELD","MI",101,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,101,25
"31","10707AC","Air Cargo",2011,"Perishable","NLD","BOSTON","MA",150,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,150,26
"32","10710AC","Air Cargo",2011,"Perishable","ISR","LOMBARD","IL",20,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Chamelaucium sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,16
"33","10714AC","Air Cargo",2011,"Perishable","NLD","SCHAUMBURG","IL",15,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,13
"34","10715AC","Air Cargo",2011,"Perishable","ISR","NORTHFIELD","IL",19,"Box/Carton",15,"Box/Carton","Hypergeometric Sample","N","","Lisianthus, Eustoma sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,15
"35","10717AC","Air Cargo",2011,"Perishable","NLD","WAUCONDA","IL",23,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,17
"36","10718AC","Air Cargo",2011,"Perishable","KEN","WAUCONDA","IL",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Zantedeschia sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"37","10719AC","Air Cargo",2011,"Perishable","NLD","CHICAGO","IL",131,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131,26
"38","10721AC","Air Cargo",2011,"Perishable","THA","CHICAGO","IL",101,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,101,25
"39","10723AC","Air Cargo",2011,"Perishable","NLD","SCHAUMBURG","IL",33,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,20
"40","10729AC","Air Cargo",2011,"Perishable","GBR","BOSTON","MA",36,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,20
"41","10730AC","Air Cargo",2011,"Perishable","NLD","BOSTON","MA",125,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125,26
"42","10734AC","Air Cargo",2011,"Perishable","THA","PHENIX","VA",20,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,16
"43","10744AC","Air Cargo",2011,"Perishable","MYS","BOSTON","MA",10,"Box/Carton",10,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10
"44","10754AC","Air Cargo",2011,"Perishable","GTM","DALLAS","TX",34,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,20
"45","10755AC","Air Cargo",2011,"Perishable","MYS","DALLAS","TX",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"46","10772AC","Air Cargo",2011,"Perishable","GTM","DALLAS","TX",55,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,23
"47","10772NC","Northern Border Cargo",2011,"Perishable","CAN","OCONOMOWOC","WI",170,"Box/Carton",27,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,170,27
"48","10773NC","Northern Border Cargo",2011,"Perishable","CAN","CARLISLE","PA",500,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","NY Buffalo CBP Peace Bridge",901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,500,28
"49","10798AC","Air Cargo",2011,"Perishable","MYS","DALLAS","TX",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"50","10804AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"51","10805AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",18,"Box/Carton",15,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,15
"52","10806AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"53","10808AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",11,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,11
"54","10809AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"55","10811AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",16,"Box/Carton",14,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,14
"56","10811NC","Northern Border Cargo",2011,"Perishable","CAN","OCONOMOWOC","WI",388,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,388,28
"57","10813AC","Air Cargo",2011,"Perishable","THA","NEW YORK","NY",31,"Box/Carton",19,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,19
"58","10814AC","Air Cargo",2011,"Perishable","NLD","NEW YORK","NY",66,"Box/Carton",24,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF, Hypericum sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66,24
"59","10817AC","Air Cargo",2011,"Perishable","GBR","WILMINGTON","MA",96,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,96,25
"60","10826AC","Air Cargo",2011,"Perishable","CRI","HOUSTON","TX",15,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Alpinia sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,13
"61","10875AC","Air Cargo",2011,"Perishable","NZL","LOS ANGELES","CA",33,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Hydrangea sp. , CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,20
"62","10880AC","Air Cargo",2011,"Perishable","MYS","DALLAS","TX",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"63","10881AC","Air Cargo",2011,"Perishable","ECU","DALLAS","TX",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Heliconia sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"64","10909AC","Air Cargo",2011,"Perishable","GBR","ROYAL OAK","MI",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"65","10910AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",50,"Box/Carton",22,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,22
"66","10911AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",65,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65,23
"67","10912AC","Air Cargo",2011,"Perishable","GBR","ROYAL OAK","MI",18,"Box/Carton",15,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,15
"68","10913AC","Air Cargo",2011,"Perishable","GBR","ROYAL OAK","MI",30,"Box/Carton",19,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,19
"69","10914AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",84,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,84,25
"70","10922AC","Air Cargo",2011,"Perishable","THA","UNION CITY","CA",43,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,21
"71","10926AC","Air Cargo",2011,"Perishable","MYS","DALLAS","TX",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Mokara sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"72","10935AC","Air Cargo",2011,"Perishable","THA","SEWELL","NJ",40,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,21
"73","10937AC","Air Cargo",2011,"Perishable","NLD","MINNEAPOLIS","MN",18,"Box/Carton",15,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,15
"74","10942AC","Air Cargo",2011,"Perishable","NLD","WAUCONDA","IL",24,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,17
"75","10943AC","Air Cargo",2011,"Perishable","NLD","WAUCONDA","IL",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Hippeastrum sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"76","10950AC","Air Cargo",2011,"Perishable","NLD","BOSTON","MA",149,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149,26
"77","10952AC","Air Cargo",2011,"Perishable","THA","BOSTON","MA",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"78","10962AC","Air Cargo",2011,"Perishable","THA","SAN FRANCISCO","CA",39,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","Y","Wholesale/ Retail","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,2576,"Dendrobium Sp., CF","39","Box/Carton","Associated with cargo","N","N","N","Y","APSCA110746932001 (Succinea tenella )","N","","Mar 15, 2011 4:24:58 PM",1,39,21
"79","10972NC","Northern Border Cargo",2011,"Perishable","CAN","OCONOMOWOC","WI",298,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,298,28
"80","10973AC","Air Cargo",2011,"Perishable","THA","LOS ANGELES","CA",33,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,20
"81","10974AC","Air Cargo",2011,"Perishable","THA","LOS ANGELES","CA",8,"Box/Carton",8,"Box/Carton","Hypergeometric Sample","N","","Mokara sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8
"82","10979AC","Air Cargo",2011,"Perishable","IRE","BOSTON","MA",288,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","Y","Wholesale/ Retail","Narcissus sp., CF","MA Boston CBP",417,NA,2580,"Narcissus sp., CF","288","Box/Carton","Associated with cargo","N","N","N","Y","037860 (Arion Carinarion)","N","","Mar 17, 2011 3:53:56 PM",1,288,28
"83","11014AC","Air Cargo",2011,"Perishable","NLD","LOS ANGELES","CA",30,"Box/Carton",19,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,19
"84","11015AC","Air Cargo",2011,"Perishable","NLD","LOS ANGELES","CA",127,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Cymbidium sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,127,26
"85","11031NC","Northern Border Cargo",2011,"Perishable","CAN","CHESTERFIELD","MI",55,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Port Huron CBP",3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,23
"86","11052AC","Air Cargo",2011,"Perishable","NLD","ROYAL OAK","MI",92,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92,25
"87","11053AC","Air Cargo",2011,"Perishable","GBR","ROYAL OAK","MI",24,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MI Romulus CBP",3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,17
"88","11057AC","Air Cargo",2011,"Perishable","ISR","DALLAS","TX",15,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Paeonia sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,13
"89","11061AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",15,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,13
"90","11062AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",22,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,16
"91","11063AC","Air Cargo",2011,"Perishable","THA","HONOLULU","HI",17,"Box/Carton",14,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,14
